business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
7ztH6Hr-Z-O3slcZCRj8MQ,Divebar,30,0:0-23:0,-115.1096599,36.0992176
PYuMZ54OLZ4pyctoHE8b9w,Evening Call - Harmon Corner,35,0:0-23:0,-115.1724729,36.1087121
yvJFb7pOJUTwr0wxgzvzgw,Irene's Cocktail Lounge,25,0:0-23:0,-115.2161853,36.1262764
rzxEaRIVQXWObAHBUMOAvw,Center Bar,23,0:0-23:0,-115.1745851,36.1022287
-G9DFmuokdYk_H35ezRkAw,Dolphin Bar,22,8:0-19:0,-115.172286987,36.1212806702
6GzwaQeb3brmyBucng_WPg,Vesper Bar,61,0:0-23:0,-115.175779003,36.1095833067
O_C-2kZMHGnq3ZDL_OaG6Q,Morels French Steakhouse & Bistro,61,8:0-23:0,-115.168988486,36.1246035827
8Q6jl7OW8DZzwANggDspcw,Sugar Factory American Brasserie,55,0:0-23:0,-115.172531605,36.1120152614
jKmAswXvFVRHN4VP-88zOA,Mandarin Oriental  Las Vegas,77,0:0-23:0,-115.174213,36.106212
iACo0RlJN6PGJez9oaK-tA,Timbers - Durango,29,0:0-23:0,-115.2884782,36.2890998
8k_co_29GX7oYBbhxtR0rA,Hooligans Bar,54,0:0-23:0,-115.2423672,36.1527867
issNocLJCc1YbTdnwEIlXA,Extra Lounge,23,0:0-23:0,-115.172492,36.110542
-OEIW0dO96-492qa_luxaw,Aces & Ales,60,0:0-23:0,-115.0646814,36.121392
rONzEAB8P2sBLgBEGnVMrA,Putter's Bar & Grill,36,0:0-23:0,-115.243364,36.0625018
NMEfM6_t_ebEtwxE_Rdf3g,The Bar @Trails Village,30,0:0-23:0,-115.3040337,36.1936551
Ls89UV4aSRE8eW2Pj_LaWg,Crossroads Restaurant & Bar - Las Vegas,43,7:0-23:0,-115.1766701,36.0907541
U-zsJM-VN89i3PbaIbKmJw,The Pub at Monte Carlo,53,7:0-23:0,-115.17617271,36.1054894936
x1fx7C_tc064cFATjl4fmQ,The Lodge at Grand Teton,36,0:0-23:0,-115.2772047,36.3067315
